method,config,Jaccard
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
CIBICA,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
HOUGH,GL70,0.0
