method,Jaccard
CIBICA,0.8686657525780359
CIBICA,0.8777761107718407
CIBICA,0.8733238369815094
CIBICA,0.8942606451683911
CIBICA,0.8963395241054081
CIBICA,0.8980164834811005
CIBICA,0.9127821796629508
CIBICA,0.915279005768218
CIBICA,0.9208933690253356
CIBICA,0.6750357896636942
CIBICA,0.7031008350264328
CIBICA,0.6972492535720497
CIBICA,0.7686036755786267
CIBICA,0.9112159169635786
CIBICA,0.9129242419619977
CIBICA,0.8849098041574734
CIBICA,0.8405974320683448
CIBICA,0.8073710246236966
CIBICA,0.871847625328888
CIBICA,0.879880012472527
CIBICA,0.8838126894222046
CIBICA,0.8718635006704675
CIBICA,0.8737370774413145
CIBICA,0.9058422863786816
CIBICA,0.9073027661698242
CIBICA,0.9168870499860888
CIBICA,0.9180973849900426
CIBICA,0.6849137474117624
CIBICA,0.7105510886167431
CIBICA,0.8093719996474523
CIBICA,0.9299790216911932
CIBICA,0.9109028830913827
CIBICA,0.9172707568864216
CIBICA,0.9068238750193891
CIBICA,0.8790606061373989
CIBICA,0.8290160708694831
CIBICA,0.8809658314140196
CIBICA,0.8809692734773313
CIBICA,0.8798380489236786
CIBICA,0.8825235450171135
CIBICA,0.9032028206882282
CIBICA,0.909052284620754
CIBICA,0.9076488786225587
CIBICA,0.9074336826112614
CIBICA,0.9175129531860097
CIBICA,0.7107752986679194
CIBICA,0.8118545715766654
CIBICA,0.9218451084307903
CIBICA,0.9206696791132766
CIBICA,0.912754654183252
CIBICA,0.9009110320759595
CIBICA,0.8609998438998367
CIBICA,0.8538633386887869
CIBICA,0.7654511289992847
CIBICA,0.8978769307428567
CIBICA,0.9000988772002161
CIBICA,0.9014752342856119
CIBICA,0.9102567915662427
CIBICA,0.9102567915662427
CIBICA,0.9263489493574686
CIBICA,0.9251829530261596
CIBICA,0.945291601281206
CIBICA,0.9494171821398593
CIBICA,0.7084477195537532
CIBICA,0.7879254701258903
CIBICA,0.8126065598331028
CIBICA,0.965441102003971
CIBICA,0.9321060717858597
CIBICA,0.9057384000648924
CIBICA,0.8748487954485251
CIBICA,0.8608152663388204
CIBICA,0.7622463768928097
CIBICA,0.8355461333091372
CIBICA,0.8702388776654153
CIBICA,0.8763288296245941
CIBICA,0.8951395500138468
CIBICA,0.9055838969151668
CIBICA,0.8834358568123083
CIBICA,0.893124166147341
CIBICA,0.8840815451819568
CIBICA,0.8722961664280972
CIBICA,0.7453822089105043
CIBICA,0.7619755514720609
CIBICA,0.7913127771063841
CIBICA,0.8504613057216671
CIBICA,0.8988429342292669
CIBICA,0.9020021813740686
CIBICA,0.8778729697573923
CIBICA,0.8615205704748758
CIBICA,0.8024172990642696
CIBICA,0.8466545989626283
CIBICA,0.8381592222380282
CIBICA,0.8378202981726537
CIBICA,0.840873082155634
CIBICA,0.842741405349681
CIBICA,0.7550788157834077
CIBICA,0.8536527726312972
CIBICA,0.8582770556635078
CIBICA,0.8765524307016481
CIBICA,0.8005185971156414
CIBICA,0.8885872596020616
CIBICA,0.8782558964960521
CIBICA,0.8608416758522422
CIBICA,0.9291507603480236
CIBICA,0.8378202981726537
CIBICA,0.7890728738384245
CIBICA,0.7265593066571655
CIBICA,0.6563870151407959
CIBICA,0.8533375470607857
CIBICA,0.8607001444089815
CIBICA,0.8713716571371831
CIBICA,0.8838468930275919
CIBICA,0.8927075279336498
CIBICA,0.894123401713846
CIBICA,0.8983947840543496
CIBICA,0.893182657929851
CIBICA,0.8923726019515843
CIBICA,0.8360616449238072
CIBICA,0.8398666015982913
CIBICA,0.8668090574322538
CIBICA,0.8638892047578437
CIBICA,0.879718481124145
CIBICA,0.806832913605742
CIBICA,0.7425440818758732
CIBICA,0.6973524474993251
CIBICA,0.6092025634275305
CIBICA,0.8689574712820609
CIBICA,0.8537330858022634
CIBICA,0.8638086310703514
CIBICA,0.8716266679020213
CIBICA,0.8746567056673881
CIBICA,0.8857519841920455
CIBICA,0.8931906870894623
CIBICA,0.9026013944233644
CIBICA,0.9102329275031833
CIBICA,0.7453343029483627
CIBICA,0.7573427099087846
CIBICA,0.7598384813032817
CIBICA,0.7701385481072477
CIBICA,0.9052462474252274
CIBICA,0.8563788145584686
CIBICA,0.773577960423106
CIBICA,0.7201760178028802
CIBICA,0.665567863369948
CIBICA,0.9122308479078857
CIBICA,0.912873388057311
CIBICA,0.9200219018773858
CIBICA,0.9160520149718794
CIBICA,0.9185044430121866
CIBICA,0.918919663260181
CIBICA,0.925963792701913
CIBICA,0.9298315783491465
CIBICA,0.9302129883236236
CIBICA,0.7566265689948121
CIBICA,0.7820860101925605
CIBICA,0.9262608199693393
CIBICA,0.9084425644127919
CIBICA,0.8727223157066785
CIBICA,0.8081908667115247
CIBICA,0.7469423864592958
CIBICA,0.6889849704855533
CIBICA,0.6219132210194955
CIBICA,0.9359434040914446
CIBICA,0.9398985016058778
CIBICA,0.9371069026429378
CIBICA,0.9394813737702223
CIBICA,0.9313722388288479
CIBICA,0.9324937615479085
CIBICA,0.9256582528803817
CIBICA,0.9204720918461416
CIBICA,0.8946055180193316
CIBICA,0.8435645515536054
CIBICA,0.9302474358424514
CIBICA,0.9347984831215862
CIBICA,0.9106386809264869
CIBICA,0.8752705558425391
CIBICA,0.8247278416876881
CIBICA,0.7941014680419842
CIBICA,0.7229623980250329
CIBICA,0.6582101736508291
CIBICA,0.9445164541257141
CIBICA,0.9539434360880562
CIBICA,0.9623270555059925
CIBICA,0.9465198571949099
CIBICA,0.9428636685452628
CIBICA,0.9313656354044171
CIBICA,0.9092685339837602
CIBICA,0.904722794776281
CIBICA,0.9042786139968508
CIBICA,0.8624008474663135
CIBICA,0.9251911007431891
CIBICA,0.94977489394657
CIBICA,0.9570011829993371
CIBICA,0.9445600491053724
CIBICA,0.8844736065966272
CIBICA,0.8059379247214448
CIBICA,0.7611899775813422
CIBICA,0.6923107455667854
CIBICA,0.924626019968284
CIBICA,0.932748781149239
CIBICA,0.9373508397670767
CIBICA,0.9366119195252863
CIBICA,0.9363113556057665
CIBICA,0.9349446356167002
CIBICA,0.9283561075325639
CIBICA,0.9253923515846544
CIBICA,0.936757566557094
CIBICA,0.8606885904425647
CIBICA,0.8936015483830008
CIBICA,0.9318634592918826
CIBICA,0.9170538108966683
CIBICA,0.9041540607001375
CIBICA,0.8309848619250452
CIBICA,0.7760474638540423
CIBICA,0.7469150600147562
CIBICA,0.6588409412497697
CIBICA,0.8244013592093041
CIBICA,0.8287391647153192
CIBICA,0.8793525473244915
CIBICA,0.8962558701573063
CIBICA,0.9031348033327757
CIBICA,0.9171543266581889
CIBICA,0.9242963191110409
CIBICA,0.9269428334420536
CIBICA,0.9325098130850806
CIBICA,0.7651140776707125
CIBICA,0.7678560905721713
CIBICA,0.886657728136815
CIBICA,0.8754041719632055
CIBICA,0.8590250304859114
