Filename,GL70,GL72,GL74,GL76,GL78,GL80,GL82,GL84,GL86,Med3,Med5,Med7,Med9,Med11,Med13,Med15,Med17,Med19
05571583_2020023_Feet_L_S_0,0.8686657525780359,0.8777761107718407,0.8733238369815094,0.8942606451683911,0.8963395241054081,0.8980164834811005,0.9127821796629508,0.915279005768218,0.9208933690253356,0.6750357896636942,0.7031008350264328,0.7710049479658623,0.7686036755786267,0.7894789385691375,0.9129242419619977,0.8849098041574734,0.8405974320683448,0.8012100999564701
05571583_2020023_Feet_L_S_1,0.845710962290271,0.879880012472527,0.8838126894222046,0.8718635006704675,0.8888863861646076,0.8854811030722212,0.9136755424789625,0.9126911019794283,0.9180973849900426,0.6849137474117624,0.7680594347196085,0.9142988986893325,0.9299790216911932,0.9109028830913827,0.9172707568864216,0.9084333718143115,0.8790606061373989,0.7895541350735341
05571583_2020023_Feet_L_S_2,0.8809658314140196,0.8809692734773313,0.8798380489236786,0.8825235450171135,0.9032028206882282,0.909052284620754,0.9076488786225587,0.9074336826112614,0.9175129531860097,0.7186236174734106,0.8118545715766654,0.938411170032187,0.9206696791132766,0.912754654183252,0.9009110320759595,0.8657952036922261,0.8538633386887869,0.7654511289992847
05571583_2020023_Feet_L_S_3,0.8978769307428567,0.8964041485101386,0.9014752342856119,0.9107850684259109,0.9107850684259109,0.9263489493574686,0.9251829530261596,0.945291601281206,0.9494171821398593,0.7033847357807949,0.7879254701258903,0.8126065598331028,0.965441102003971,0.9321060717858597,0.9057384000648924,0.8748487954485251,0.8608152663388204,0.7622463768928097
05571583_2020023_Feet_R_S_0,0.7738317368002415,0.8702388776654153,0.8763288296245941,0.8951395500138468,0.9055838969151668,0.8834358568123083,0.893124166147341,0.8840815451819568,0.8722961664280972,0.7225727753339775,0.7619755514720609,0.7913127771063841,0.8504613057216671,0.8946896134837191,0.9020021813740686,0.8778729697573923,0.862845767715596,0.8024172990642696
05571583_2020023_Feet_R_S_1,0.8466545989626283,0.8381592222380282,0.8710150488837063,0.840873082155634,0.842741405349681,0.857419764546175,0.8536527726312972,0.8582770556635078,0.8765524307016481,0.7710891088967291,0.8885872596020616,0.8409595789493608,0.8608416758522422,0.9280699081522897,0.8378202981726537,0.7890728738384245,0.7265593066571655,0.6563870151407959
05571583_2020023_Feet_R_S_2,0.8533375470607857,0.8607001444089815,0.8713716571371831,0.8838468930275919,0.8927075279336498,0.894123401713846,0.8983947840543496,0.893182657929851,0.8923726019515843,0.8360616449238072,0.8398666015982913,0.8668090574322538,0.8638892047578437,0.879718481124145,0.806832913605742,0.7425440818758732,0.6973524474993251,0.6693740678662574
05571583_2020023_Feet_R_S_3,0.8547908861168996,0.8537330858022634,0.8638086310703514,0.8716266679020213,0.8746567056673881,0.8857519841920455,0.8931906870894623,0.9026013944233644,0.9102329275031833,0.7453343029483627,0.7573427099087846,0.9114363893576367,0.8449388107937806,0.9052462474252274,0.8551436317589177,0.773577960423106,0.7201760178028802,0.665567863369948
05723258_20200601_Feet_L_S_0,0.9122308479078857,0.912873388057311,0.9200219018773858,0.9160520149718794,0.9185044430121866,0.918919663260181,0.925963792701913,0.9298315783491465,0.9219018402377206,0.7502739968942325,0.7820860101925605,0.9262608199693393,0.9084425644127919,0.8727223157066785,0.8081908667115247,0.7469423864592958,0.6889849704855533,0.6219132210194955
05723258_20200601_Feet_L_S_1,0.9359434040914446,0.9398985016058778,0.9371069026429378,0.9394813737702223,0.9313722388288479,0.9324937615479085,0.9256582528803817,0.9204720918461416,0.8946055180193316,0.757244758041232,0.9302474358424514,0.9347984831215862,0.9106386809264869,0.8752705558425391,0.8247278416876881,0.7941014680419842,0.7170330747504569,0.6582101736508291
